series,date,sector,value
abs,2015-01-01,p0,281643.0
abs,2015-01-01,p1,21764.0
abs,2015-01-01,p1.1,13857.0
abs,2015-01-01,p1.1.1,935.0
abs,2015-01-01,p1.1.2,7489.0
abs,2015-01-01,p1.1.7,5433.0
abs,2015-01-01,p1.2,3083.0
abs,2015-01-01,p1.3,1874.0
abs,2015-01-01,p1.4,2949.0
abs,2015-01-01,p1.4.1,2003.0
abs,2015-01-01,p1.4.2,946.0
abs,2015-01-01,p2,27716.0
abs,2015-01-01,p2.1,12691.0
abs,2015-01-01,p2.2,13212.0
abs,2015-01-01,p2.3,1814.0
abs,2015-01-01,p3,62217.0
abs,2015-01-01,p3.1,6864.0
abs,2015-01-01,p3.1.1,2161.0
abs,2015-01-01,p3.1.2,3143.0
abs,2015-01-01,p3.1.3,871.0
abs,2015-01-01,p3.1.4,689.0
abs,2015-01-01,p3.2,1115.0
abs,2015-01-01,p3.2.1,970.0
abs,2015-01-01,p3.2.2,145.0
abs,2015-01-01,p3.3,3266.0
abs,2015-01-01,p3.3.1,1477.0
abs,2015-01-01,p3.3.2,937.0
abs,2015-01-01,p3.3.3,852.0
abs,2015-01-01,p3.4,18778.0
abs,2015-01-01,p3.4.1,8789.0
abs,2015-01-01,p3.4.2,6826.0
abs,2015-01-01,p3.4.3,1113.0
abs,2015-01-01,p3.4.4,2050.0
abs,2015-01-01,p3.5,7278.0
abs,2015-01-01,p3.5.1,2229.0
abs,2015-01-01,p3.5.2,1583.0
abs,2015-01-01,p3.5.3,3466.0
abs,2015-01-01,p3.6,18286.0
abs,2015-01-01,p3.6.1,2695.0
abs,2015-01-01,p3.6.2,1308.0
abs,2015-01-01,p3.6.3,1269.0
abs,2015-01-01,p3.6.4,12138.0
abs,2015-01-01,p3.6.5,876.0
abs,2015-01-01,p3.7,6630.0
abs,2015-01-01,p3.7.1,4839.0
abs,2015-01-01,p3.7.2,980.0
abs,2015-01-01,p3.7.3,811.0
abs,2015-01-01,p4,13728.0
abs,2015-01-01,p4.1,7544.0
abs,2015-01-01,p4.1.1,3917.0
abs,2015-01-01,p4.1.2,3627.0
